ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-03,676.6647548282572,-358.79239264908745,2560.4224132213867,676.6647548282572,676.6647548282572,331.52654897784896,331.52654897784896,331.52654897784896,92.86645305911574,92.86645305911574,92.86645305911574,238.66009591873322,238.66009591873322,238.66009591873322,0.0,0.0,0.0,1008.1913038061061
2015-01-04,676.8051740701101,-745.0740729234899,2232.2746193783155,676.8051740701101,676.8051740701101,119.1332428573491,119.1332428573491,119.1332428573491,-95.5461171887056,-95.5461171887056,-95.5461171887056,214.6793600460547,214.6793600460547,214.6793600460547,0.0,0.0,0.0,795.9384169274592
2015-01-07,677.2264317956685,-649.7296027413927,2344.2791757297928,677.2264317956685,677.2264317956685,129.4128315793918,129.4128315793918,129.4128315793918,-7.5305798258611,-7.5305798258611,-7.5305798258611,136.94341140525287,136.94341140525287,136.94341140525287,0.0,0.0,0.0,806.6392633750603
2015-01-08,677.3668510375215,-838.3225841944171,2213.9913715188745,677.3668510375215,677.3668510375215,7.94463343998877,7.94463343998877,7.94463343998877,-102.90120378824813,-102.90120378824813,-102.90120378824813,110.8458372282369,110.8458372282369,110.8458372282369,0.0,0.0,0.0,685.3114844775104
2015-01-09,677.5072702793743,-618.8992214514734,2341.6950910703767,677.5072702793743,677.5072702793743,182.09794089469585,182.09794089469585,182.09794089469585,96.64083744423289,96.64083744423289,96.64083744423289,85.45710345046298,85.45710345046298,85.45710345046298,0.0,0.0,0.0,859.6052111740702
2015-01-10,677.6476895212271,-734.1336535248657,2310.3571960778745,677.6476895212271,677.6476895212271,154.05999757827598,154.05999757827598,154.05999757827598,92.86645305942423,92.86645305942423,92.86645305942423,61.19354451885172,61.19354451885172,61.19354451885172,0.0,0.0,0.0,831.7076870995031
2015-01-11,677.78810876308,-810.0791186601455,2068.5286254510374,677.78810876308,677.78810876308,-57.12982350198735,-57.12982350198735,-57.12982350198735,-95.5461171888309,-95.5461171888309,-95.5461171888309,38.41629368684357,38.41629368684357,38.41629368684357,0.0,0.0,0.0,620.6582852610926
2015-01-12,677.9285280049329,-852.128900495838,2328.600412660717,677.9285280049329,677.9285280049329,28.495654160628465,28.495654160628465,28.495654160628465,11.070895823825216,11.070895823825216,11.070895823825216,17.424758336803254,17.424758336803254,17.424758336803254,0.0,0.0,0.0,706.4241821655613
2015-01-13,678.0689472467857,-774.058720637458,2159.3373900467323,678.0689472467857,678.0689472467857,3.851573582363452,3.851573582363452,3.851573582363452,5.39971447556474,5.39971447556474,5.39971447556474,-1.5481408932012788,-1.5481408932012788,-1.5481408932012788,0.0,0.0,0.0,681.9205208291492
2015-01-18,678.7710434560499,-995.2227188024453,2085.4694822389483,678.7710434560499,678.7710434560499,-158.39252335980558,-158.39252335980558,-158.39252335980558,-95.54611718877902,-95.54611718877902,-95.54611718877902,-62.84640617102655,-62.84640617102655,-62.84640617102655,0.0,0.0,0.0,520.3785200962443
