ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-02,848.3903624319373,-1210.8563963618872,3452.330289307302,848.3903624319373,848.3903624319373,349.1994551261317,349.1994551261317,349.1994551261317,-1.9538851988471708,-1.9538851988471708,-1.9538851988471708,351.1533403249787,351.1533403249787,351.1533403249787,0.0,0.0,0.0,1197.589817558069
2015-01-03,848.587179611639,-1121.435456953464,3470.05760074457,848.587179611639,848.587179611639,353.62090799238746,353.62090799238746,353.62090799238746,60.1480703905993,60.1480703905993,60.1480703905993,293.4728376017881,293.4728376017881,293.4728376017881,0.0,0.0,0.0,1202.2080876040266
2015-01-06,849.1776311507442,-1483.927483975579,3351.155314756606,849.1776311507442,849.1776311507442,-47.03870070413863,-47.03870070413863,-47.03870070413863,-131.11175791060768,-131.11175791060768,-131.11175791060768,84.07305720646906,84.07305720646906,84.07305720646906,0.0,0.0,0.0,802.1389304466056
2015-01-07,849.374448330446,-1528.5462570501877,3210.6002967124455,849.374448330446,849.374448330446,-62.5117952794301,-62.5117952794301,-62.5117952794301,-70.4198679704964,-70.4198679704964,-70.4198679704964,7.908072691066294,7.908072691066294,7.908072691066294,0.0,0.0,0.0,786.8626530510159
2015-01-09,849.7680826898496,-1434.7420107200867,2938.271970569394,849.7680826898496,849.7680826898496,-144.45751421164115,-144.45751421164115,-144.45751421164115,-1.953885198779022,-1.953885198779022,-1.953885198779022,-142.50362901286212,-142.50362901286212,-142.50362901286212,0.0,0.0,0.0,705.3105684782084
2015-01-11,850.1617170492531,-1460.0613689154225,3013.8524066929667,850.1617170492531,850.1617170492531,-229.83137475447188,-229.83137475447188,-229.83137475447188,47.571349168724396,47.571349168724396,47.571349168724396,-277.40272392319633,-277.40272392319633,-277.40272392319633,0.0,0.0,0.0,620.3303422947812
2015-01-12,850.3585342289548,-1702.6298372464105,2760.890165175093,850.3585342289548,850.3585342289548,-303.35987243265674,-303.35987243265674,-303.35987243265674,31.103789403791225,31.103789403791225,31.103789403791225,-334.46366183644795,-334.46366183644795,-334.46366183644795,0.0,0.0,0.0,546.998661796298
2015-01-13,850.5553514086565,-2045.4479323106505,2697.353210738309,850.5553514086565,850.5553514086565,-513.564237867329,-513.564237867329,-513.564237867329,-131.11175791059065,-131.11175791059065,-131.11175791059065,-382.45247995673833,-382.45247995673833,-382.45247995673833,0.0,0.0,0.0,336.99111354132754
2015-01-15,850.94898576806,-1891.7321631280893,2820.039082198678,850.94898576806,850.94898576806,-381.41331066220806,-381.41331066220806,-381.41331066220806,64.66230211715725,64.66230211715725,64.66230211715725,-446.0756127793653,-446.0756127793653,-446.0756127793653,0.0,0.0,0.0,469.5356751058519
2015-01-16,851.1458029477617,-1920.1774217338811,2667.580455149111,851.1458029477617,851.1458029477617,-461.7646251313117,-461.7646251313117,-461.7646251313117,-1.9538851989767443,-1.9538851989767443,-1.9538851989767443,-459.81073993233497,-459.81073993233497,-459.81073993233497,0.0,0.0,0.0,389.38117781645
