ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2015-01-03,727.7691931311978,-831.0477846655855,2883.7666285137957,727.7691931311978,727.7691931311978,0.6013201442126801,0.6013201442126801,0.6013201442126801,0.2011207863229973,0.2011207863229973,0.2011207863229973,0.40019935788968286,0.40019935788968286,0.40019935788968286,0.0,0.0,0.0,1165.3914692983954
2015-01-04,727.9289547206561,-961.7772559762735,2802.4296084141624,727.9289547206561,727.9289547206561,0.23848917267428185,0.23848917267428185,0.23848917267428185,-0.16622273636244592,-0.16622273636244592,-0.16622273636244592,0.4047119090367277,0.4047119090367277,0.4047119090367277,0.0,0.0,0.0,901.5321288976402
2015-01-06,728.2484778995729,-904.698432791621,2781.8477734267485,728.2484778995729,728.2484778995729,0.37281377555034856,0.37281377555034856,0.37281377555034856,-0.02056440238976537,-0.02056440238976537,-0.02056440238976537,0.393378177940114,0.393378177940114,0.393378177940114,0.0,0.0,0.0,999.7495424841073
2015-01-08,728.5680010784896,-907.3716081745162,2912.0970934979127,728.5680010784896,728.5680010784896,0.5523947064853423,0.5523947064853423,0.5523947064853423,0.19630234703029859,0.19630234703029859,0.19630234703029859,0.35609235945504364,0.35609235945504364,0.35609235945504364,0.0,0.0,0.0,1131.0251081888543
2015-01-09,728.7277626679479,-787.5985621463323,2638.84152162457,728.7277626679479,728.7277626679479,0.15943840274581678,0.15943840274581678,0.15943840274581678,-0.16932208165265392,-0.16932208165265392,-0.16932208165265392,0.32876048439847066,0.32876048439847066,0.32876048439847066,0.0,0.0,0.0,844.9149531842583
2015-01-11,729.0472858468646,-1149.1653272568165,2608.713259260764,729.0472858468645,729.0472858468645,0.09375355956335657,0.09375355956335657,0.09375355956335657,-0.16622273636220578,-0.16622273636220578,-0.16622273636220578,0.2599762959255623,0.2599762959255623,0.2599762959255623,0.0,0.0,0.0,797.3980639850121
2015-01-12,729.207047436323,-777.7863450061834,2767.6405707754125,729.207047436323,729.207047436323,0.30563532749506084,0.30563532749506084,0.30563532749506084,0.08550539328294263,0.08550539328294263,0.08550539328294263,0.2201299342121182,0.2201299342121182,0.2201299342121182,0.0,0.0,0.0,952.07848219123
2015-01-13,729.3668090257813,-982.5300955076242,2686.8987792153453,729.3668090257813,729.3668090257813,0.15726566898119584,0.15726566898119584,0.15726566898119584,-0.020564402389439893,-0.020564402389439893,-0.020564402389439893,0.17783007137063572,0.17783007137063572,0.17783007137063572,0.0,0.0,0.0,844.0711681799008
2015-01-14,729.5265706152396,-1077.32602641697,2687.325171458085,729.5265706152396,729.5265706152396,0.007189594892583501,0.007189594892583501,0.007189594892583501,-0.12681930623193335,-0.12681930623193335,-0.12681930623193335,0.13400890112451685,0.13400890112451685,0.13400890112451685,0.0,0.0,0.0,734.771571121339
2015-01-16,729.8460937941564,-1027.9791244620528,2561.836128144812,729.8460937941566,729.8460937941566,-0.12379348312865737,-0.12379348312865737,-0.12379348312865737,-0.16932208165302276,-0.16932208165302276,-0.16932208165302276,0.04552859852436536,0.04552859852436536,0.04552859852436536,0.0,0.0,0.0,639.4959036955331
2015-01-28,731.7632328676566,-1499.4328126732446,2279.442233850184,731.7632328676566,731.7632328676566,-0.3643689983805237,-0.3643689983805237,-0.3643689983805237,-0.12681930622986273,-0.12681930622986273,-0.12681930622986273,-0.23754969215066102,-0.23754969215066102,-0.23754969215066102,0.0,0.0,0.0,465.13139665597464
2015-02-03,732.7218024044068,-1250.0678946153305,2269.1350739576737,732.7218024044068,732.7218024044068,-0.21474333444635668,-0.21474333444635668,-0.21474333444635668,-0.020564402389931194,-0.020564402389931194,-0.020564402389931194,-0.19417893205642547,-0.19417893205642547,-0.19417893205642547,0.0,0.0,0.0,575.37467933454
2015-02-05,733.0413255833236,-1135.341115334137,2510.808534466592,733.0413255833236,733.0413255833236,0.0222018010618468,0.0222018010618468,0.0222018010618468,0.19630234703016267,0.19630234703016267,0.19630234703016267,-0.17410054596831584,-0.17410054596831584,-0.17410054596831584,0.0,0.0,0.0,749.316163264037
2015-02-07,733.3608487622403,-1076.2676845884603,2673.9412454458375,733.3608487622403,733.3608487622403,0.043214522376270936,0.043214522376270936,0.043214522376270936,0.20112078632249172,0.20112078632249172,0.20112078632249172,-0.1579062639462208,-0.1579062639462208,-0.1579062639462208,0.0,0.0,0.0,765.0526875709572
